"id"    "prob"
598    0.48
12048    0.332
40908    0.659
33283    0.834
40600    0.055
19805    0.336
20784    0.931
19048    0.167
37061    0.827
3983    0.221
10403    0.115
28874    0.585
11099    0.573
12940    0.546
41437    0.208
3554    0.848
22356    0.506
23521    0.247
19043    0.578
30978    0.853
39297    0.603
39470    0.863
22235    0.363
35270    0.498
6693    0.549
5657    0.209
32121    0.626
20400    0.506
17806    0.511
22512    0.696
28606    0.578
48490    0.245
1403    0.617
17124    0.263
27901    0.637
20999    0.777
35827    0.311
26701    0.377
48095    0.257
12253    0.508
11177    0.38
7686    0.295
36491    0.201
27051    0.248
3700    0.843
32648    0.681
16627    0.799
14605    0.117
11235    0.656
6006    0.24
44976    0.474
23594    0.3
24771    0.258
34332    0.742
19847    0.644
37046    0.186
3358    0.4
47112    0.295
4522    0.233
37803    0.515
41939    0.756
3882    0.82
25287    0.406
46006    0.722
36394    0.501
19123    0.706
37707    0.154
18962    0.347
34016    0.586
33850    0.278
12106    0.312
30158    0.339
11406    0.944
36719    0.852
6521    0.883
37565    0.748
9404    0.539
31922    0.54
26954    0.44
42225    0.801
26929    0.456
22202    0.717
480    0.784
15022    0.902
13299    0.603
44668    0.289
13588    0.783
36871    0.635
43907    0.473
4789    0.124
11538    0.361
41758    0.356
33352    0.841
32596    0.28
27669    0.231
46771    0.449
17018    0.793
31622    0.48
16225    0.124
18878    0.403
19476    0.671
25314    0.852
41037    0.5
34298    0.215
7893    0.347
30635    0.676
12052    0.487
24816    0.729
46217    0.862
27550    0.727
45642    0.716
15635    0.177
29120    0.665
42335    0.928
47655    0.596
30227    0.067
48625    0.831
40005    0.656
26223    0.406
38348    0.135
9217    0.864
18785    0.832
40335    0.753
14266    0.183
43974    0.676
46282    0.853
44011    0.386
38808    0.673
20559    0.719
2150    0.215
44500    0.22
2237    0.193
40275    0.098
3545    0.78
19680    0.807
20363    0.693
39706    0.284
44823    0.645
37537    0.567
49783    0.657
15042    0.486
38773    0.784
12725    0.234
34341    0.72
14057    0.823
48392    0.179
46800    0.522
4596    0.446
49773    0.382
41011    0.242
20447    0.166
31965    0.575
45221    0.53
28223    0.617
28355    0.528
14832    0.334
6426    0.483
34101    0.788
26530    0.143
9133    0.668
9636    0.476
41268    0.144
31698    0.835
39268    0.517
41832    0.634
3819    0.539
22394    0.455
2494    0.351
24031    0.656
20486    0.248
13898    0.225
41262    0.755
17299    0.122
14981    0.647
22495    0.271
28537    0.353
31597    0.254
32912    0.657
38500    0.549
38272    0.303
19433    0.584
28949    0.214
7406    0.23
13028    0.681
22884    0.399
39004    0.28
37481    0.469
5334    0.271
14138    0.417
1819    0.352
2406    0.661
49339    0.833
7599    0.24
20698    0.872
41313    0.843
32842    0.789
49898    0.23
20733    0.746
44875    0.434
39320    0.604
25705    0.766
48455    0.139
28689    0.459
4768    0.829
9785    0.653
45741    0.22
26055    0.245
28622    0.434
10107    0.119
47579    0.107
16602    0.485
29854    0.464
47227    0.085
4970    0.088
16408    0.128
11828    0.66
40298    0.301
12211    0.757
2970    0.803
4898    0.09
499    0.532
39638    0.23
24628    0.287
32824    0.604
7173    0.595
42290    0.124
38940    0.822
5596    0.715
3512    0.441
20652    0.326
13795    0.393
11964    0.589
19775    0.547
18097    0.739
4300    0.719
48523    0.286
11707    0.351
47107    0.195
44711    0.647
26777    0.311
33340    0.854
29621    0.623
39172    0.836
15991    0.128
41508    0.16
35923    0.398
26689    0.298
17981    0.623
15895    0.842
25900    0.512
19589    0.592
38550    0.177
17833    0.354
1097    0.36
18427    0.465
17257    0.721
17830    0.185
11664    0.418
17309    0.397
45909    0.487
591    0.567
37715    0.777
43677    0.637
9766    0.844
35313    0.172
11119    0.763
14301    0.89
10880    0.687
27672    0.745
40666    0.676
17460    0.15
8662    0.72
31151    0.189
24246    0.548
25933    0.506
39743    0.17
45888    0.133
35773    0.642
31750    0.771
8478    0.184
41484    0.853
5834    0.77
18198    0.413
48808    0.234
45616    0.278
1994    0.699
5427    0.551
1778    0.258
43859    0.226
2637    0.381
26296    0.73
28747    0.571
9839    0.364
39427    0.207
13807    0.672
13224    0.332
24411    0.595
36772    0.621
26509    0.594
49883    0.82
34379    0.723
1310    0.707
46083    0.224
13078    0.869
27948    0.583
34713    0.262
47866    0.405
39912    0.514
34276    0.866
12109    0.405
45905    0.257
24394    0.676
46352    0.083
41499    0.595
4454    0.533
49285    0.331
22228    0.655
40189    0.3
23760    0.603
8674    0.228
26843    0.1
15926    0.462
30004    0.226
49603    0.579
30977    0.624
26854    0.531
10616    0.251
9837    0.839
14996    0.673
2643    0.413
38423    0.607
44247    0.726
36586    0.275
11601    0.822
7252    0.632
44554    0.802
29665    0.074
48201    0.141
9284    0.103
22587    0.636
43348    0.421
23162    0.521
47669    0.72
7657    0.234
41833    0.65
25454    0.176
34375    0.305
27729    0.743
