"s0","s1","s2","s3","s4","s5"
"(Intercept)",3.16239335473669,3.50894611103386,3.85593576311018,3.7784558000678,3.54212925349539,3.92545805703264
"crim",0,0,0,0,0,0
"zn",0,0,0,0,0,0
"indus",0,0,0,0,0,-0.00539886516030656
"chas",0,0,0,0,0.0666922546728235,0.0991197982219252
"nox",0,0,0,0,0,-0.125162756117655
"rm",0,0,0,0.240416063450703,0.417249061502995,0.45927251853884
"age",0,0,0,0,0,0
"dis",0,0,0,0,-0.0046811060463366,-0.120437573308225
"rad",0,0,0,0,0,0.0149802512433728
"tax",0,0,0,-0.0553088043531782,-0.0805791258869124,-0.149039129101077
"ptratio",0,0,-0.00431030522559921,-0.0236479097255894,-0.0336269583696334,-0.0382111763300008
"black",0,0,0,0.00851514401767577,0.0312342486933813,0.0434022058407878
"lstat",-0.0374174105438444,-0.138817614271715,-0.237634044872318,-0.244558376963064,-0.243489935521369,-0.25670894072678
